http://www.dermstore.com/blog/how-to-pamper-your-skin-when-traveling/,1,2,3,4,5,6,7,8,9,10
990 loading time,0.06615090370178223,0.022658824920654297,0.02855396270751953,0.03554797172546387,0.03517913818359375,0.034204959869384766,0.04237103462219238,0.03183913230895996,0.07914900779724121,0.021691083908081055

https://www.unian.net/society/1921654-poroshenko-prokommentiroval-obnajennyie-yagoditsyi-na-evrovidenii-2017.html,1,2,3,4,5,6,7,8,9,10
Loading time without tag,13.268096923828125,5.34829306602478,5.262999057769775,4.108736038208008,3.191748857498169,3.2147610187530518,2.5679891109466553,4.838415145874023,5.628841876983643,5.52406907081604
Loading time with tag,9.234418153762817,5.224575042724609,5.144312143325806,7.85254693031311,5.352794885635376,6.4281110763549805,5.582008123397827,6.331106185913086,7.60814094543457,7.930914878845215
Preload loading time,0.18191099166870117,0.05528688430786133,0.17874884605407715,0.08273696899414062,0.049818992614746094,0.1400768756866455,0.03203320503234863,0.09787607192993164,0.03077101707458496,0.34226417541503906
Layer loading time,0.2386939525604248,0.13405489921569824,0.2577059268951416,0.19930601119995117,0.10548710823059082,0.15812301635742188,0.11877012252807617,0.13487911224365234,0.07715821266174316,0.3675501346588135
990 loading time,0.2386939525604248,0.13405489921569824,0.2577059268951416,0.19930601119995117,0.10548710823059082,0.15812301635742188,0.11877012252807617,0.13487911224365234,0.07715821266174316,0.3675501346588135

http://esportes.r7.com/futebol/suspeitas-de-corrupcao-rondam-o-estadio-itaquerao-a-nova-casa-do-corinthians-15052017,1,2,3,4,5,6,7,8,9,10
Loading time without tag,14.35099196434021,10.971159934997559,8.480010986328125,9.157781839370728,11.25159502029419,8.768711805343628,8.756350994110107,9.365771055221558,9.09923791885376,8.720227003097534
Loading time with tag,100,100,100,100,100,100,100,100,100
Preload loading time,100,100,100,100,100,100,100,100,100
Layer loading time,100,100,100,100,100,100,100,100,100
990 loading time,100,100,100,100,100,100,100,100,100

http://www.telegiz.com/articles/22281/20170430/combination-vitamin-d-exercise-decrease-risk-heart-attack-stroke.htm,1,2,3,4,5,6,7,8,9,10
Loading time without tag,7.18136191368103,10.110481023788452,9.278084993362427,5.383016109466553,6.120258092880249,6.464820861816406,5.0901939868927,4.969928026199341,5.1114912033081055,5.46416711807251
Loading time with tag,14.4270920753479,13.177381038665771,14.177846908569336,12.273768186569214,9.714587211608887,11.012565851211548,10.355199813842773,10.667711019515991,10.107464075088501,9.491758823394775
Preload loading time,0.02404308319091797,0.013573169708251953,0.031199932098388672,0.21982693672180176,0.3236370086669922,0.03022313117980957,5.167862176895142,0.02922511100769043,0.042014122009277344,3.982218027114868
Layer loading time,0.04695916175842285,0.046015024185180664,0.0587308406829834,4.8364410400390625,4.261258125305176,0.040139198303222656,5.202710151672363,0.05039215087890625,0.07694101333618164,4.009473085403442
990 loading time,0.04695916175842285,0.046015024185180664,0.0587308406829834,4.8364410400390625,4.261258125305176,0.040139198303222656,5.202710151672363,0.05039215087890625,0.07694101333618164,4.009473085403442

http://www.blic.rs/vesti/politika/vucic-nece-biti-velike-albanije-gradani-da-ne-brinu/jnwghqt,1,2,3,4,5,6,7,8,9,10
Loading time without tag,9.753342151641846,8.52712106704712,9.230513095855713,7.003782033920288,7.540927171707153,7.147644996643066,6.733029127120972,6.132958889007568,6.882596015930176,6.306384086608887
Loading time with tag,18.36053204536438,14.402673959732056,10.102070093154907,9.05599308013916,8.743229150772095,10.884015083312988,10.403678894042969,11.785306930541992,9.39488410949707,11.133616924285889
Preload loading time,0.07886099815368652,0.04413199424743652,0.08552193641662598,0.07611203193664551,0.05170106887817383,0.036779165267944336,1.552832841873169,0.048255205154418945,0.029978036880493164,1.7072839736938477
Layer loading time,0.27596592903137207,0.09951305389404297,0.14646506309509277,0.18491411209106445,0.15027403831481934,0.0825490951538086,2.7446110248565674,0.1197202205657959,0.0989079475402832,2.4987668991088867
990 loading time,0.27596592903137207,0.09951305389404297,0.14646506309509277,0.18491411209106445,0.15027403831481934,0.0825490951538086,2.7446110248565674,0.1197202205657959,0.0989079475402832,2.4987668991088867

